product_name;price
Babannemin Pastasi;110.00 ?
Cornet;70.00 ?
Japonnaise;85.00 ?
Cinnabon;85.00 ?
Çikolatal? Cinnabon;95.00 ?
Panna Cotta;90.00 ?
Donut;65.00 ?
Lotus Donut;85.00 ?
Berliner;65.00 ?
Schoggi Berliner;70.00 ?
Swiss Rolls;85.00 ?
Dänisch;95.00 ?
Giotto;95.00 ?
Zeynep's Cake;75.00 ?
St. Sebastian;85.00 ?
Zemu Cremeschnitt;105.00 ?
Ofen Berliner;70.00 ?
Kremal? Kruvasan;110.00 ?
Linzer Nutella;85.00 ?
Schokoladenkuchen;85.00 ?
Brownie;110.00 ?
Apfelwaehe;85.00 ?
Pastel de Nata;55.00 ?
Tiramisu;95.00 ?
Tarte au Chocolat;90.00 ?
Nutellal Cheesecake;110.00 ?
Limonlu Cheesecake;110.00 ?
Himbeer Cheesecake;110.00 ?
Karamel Cheesecake;100.00 ?
Orman Meyveli Cheesecake;110.00 ?
Cookies Cheesecake ;120.00 ?
Mc. Vities Cheesecake;120.00 ?
